EID,SERIAL_NUMBER,MODEL_NUMBER,VERSION,TESTER_NAME,OVER_ALL_RESULT,COMMENT,START_TIME,END_TIME,Fixture,Module,ESC_Type,ESC,SETPOINT_TEMP_SPEC,TEMP_TOLERANCE_SPEC,FWD_1,FWD_2,FWD_3,FWD_4,FWD_5,FWD_6,FWD_7,FWD_8,FWD_9,FWD_10,FWD_11,FWD_12,FWD_13,FWD_14,FWD_15,FWD_16,FWD_17,FWD_18,FWD_19,FWD_20,REF_1,REF_2,REF_3,REF_4,REF_5,REF_6,REF_7,REF_8,REF_9,REF_10,REF_11,REF_12,REF_13,REF_14,REF_15,REF_16,REF_17,REF_18,REF_19,REF_20,pulseREF_1,pulseREF_2,pulseREF_3,pulseREF_4,pulseREF_5,pulseREF_6,pulseREF_7,pulseREF_8,pulseREF_9,pulseREF_10,pulseREF_11,pulseREF_12,pulseREF_13,pulseREF_14,pulseREF_15,pulseREF_16,pulseREF_17,pulseREF_18,pulseREF_19,pulseREF_20,VOLTSQR_1,VOLTSQR_2,VOLTSQR_3,VOLTSQR_4,VOLTSQR_5,VOLTSQR_6,VOLTSQR_7,VOLTSQR_8,VOLTSQR_9,VOLTSQR_10,VOLTSQR_11,VOLTSQR_12,VOLTSQR_13,VOLTSQR_14,VOLTSQR_15,VOLTSQR_16,VOLTSQR_17,VOLTSQR_18,VOLTSQR_19,VOLTSQR_20,pulseVOLTSQR_1,pulseVOLTSQR_2,pulseVOLTSQR_3,pulseVOLTSQR_4,pulseVOLTSQR_5,pulseVOLTSQR_6,pulseVOLTSQR_7,pulseVOLTSQR_8,pulseVOLTSQR_9,pulseVOLTSQR_10,pulseVOLTSQR_11,pulseVOLTSQR_12,pulseVOLTSQR_13,pulseVOLTSQR_14,pulseVOLTSQR_15,pulseVOLTSQR_16,pulseVOLTSQR_17,pulseVOLTSQR_18,pulseVOLTSQR_19,pulseVOLTSQR_20,SPEC_MIN_ER,SPEC_MAX_ER,SPEC_MIN_RSQ,SPEC_MAX_RSQ,SLOPE_SPEC_MIN,SLOPE_SPEC_MAX,SETPOINT_PRESSURE,SPEC_MIN_ESC_CAP,SPEC_MAX_ESC_CAP,CAPACITANCE,ESC_CAP_MEAS,SLOPE,pulseSLOPE,EFFECTIVERES,pulseEFFECTIVERES,YINTERCEPT,pulseYINTERCEPT,RSQUARED,pulseRSQUARED,Corvus_Installed,BIASTEMP,ADVCIVPKPosA,ADVCIVPKPosB,ADVCIVPKPosA_Idle,ADVCIVPKPosB_Idle,PM_Result_Dir_Name,SLOPE_RATIO,LOWER_SLOPE_RATIO_SPEC,UPPER_SLOPE_RATIO_SPEC,RF_Pulsing_Configuration,CorvusType
Gemini_KGXAZ-1092,KGXAZ-1092,KiyoGXPM,2,Thannabalan Krishnan,FAILED,On step #1:  Key 'PM_Result_Dir_Name' can not be overwritten in spec.,0/1/1900 12:52:48 AM,0/1/1900 12:02:15 AM,,,839-101612-054,,63,6,6,8,10,12,14,16,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,1.76E-07,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.2601,328067,430319,531973,631237,732188,832328,931251,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.402,326476,429970,532511,632514,733828,826361,924416,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,0.6,0.99,1,47090,57390,50,500,680,206,NULL,51615,51328.1,NULL,NULL,11865,13445.2,0.999435,0.999114,Installed,NULL,NULL,NULL,NULL,NULL,KGXAZ-1092_3_PM2,1.005589531,0.98,1.005,ARIA_Stanza,Extended
Gemini_KGXAZ-1092,KGXAZ-1092,KiyoGXPM,2,Thannabalan Krishnan,PASSED,On step #1:  Key 'PM_Result_Dir_Name' can not be overwritten in spec.,0/1/1900 12:02:31 AM,0/1/1900 12:10:19 AM,,,839-101612-054,,63,6,6,8,10,12,14,16,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,6.32E-07,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13.8448,325718,426285,527858,626943,725152,825591,924477,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.2108,325385,427754,534614,633875,732975,830765,927838,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,0.6,0.99,1,47090,57390,50,500,680,206,NULL,51206.8,51487.3,NULL,NULL,11709.5,11638.5,0.999447,0.99944,Installed,NULL,NULL,NULL,NULL,NULL,KGXAZ-1092_3_PM2,0.994552055,0.98,1.005,ARIA_Stanza,Extended
Gemini_KGXAZ-1087,KGXAZ-1087,KiyoGXPM,2,Fathi Abu Bakar,PASSED,On step #1:  Key 'PM_Result_Dir_Name' can not be overwritten in spec.,0/1/1900 12:10:36 AM,0/1/1900 12:20:22 AM,,,839-101612-054,,63,6,6,8,10,12,14,16,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.7444,322084,422714,514822,611010,703197,790809,880523,972120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.7444,322084,422714,514822,611010,703197,790809,880523,972120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,0.6,0.99,1,47090,57390,50,500,680,206,NULL,48182.1,48182.1,NULL,NULL,24170.5,24170.5,0.998162,0.998162,Installed,NULL,NULL,NULL,NULL,NULL,KGXAZ-1087_3_PM1,1,0.98,1.005,ARIA_Stanza,Extended
Gemini_KGXAZ-1088,KGXAZ-1088,KiyoGXPM,2,Mohd Nazri Mohd Adnan,FAILED,Process Terminated on step #1,0/1/1900 12:26:37 AM,0/1/1900 12:28:01 AM,,,839-101612-054,,63,6,6,8,10,12,14,16,18,20,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,0.6,0.99,1,47090,57390,50,500,680,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Installed,NULL,NULL,NULL,NULL,NULL,,NULL,0.98,1.005,ARIA_Stanza,Extended
Gemini_KGXAZ-1088,KGXAZ-1088,KiyoGXPM,2,Mohd Nazri Mohd Adnan,PASSED,On step #1:  Key 'PM_Result_Dir_Name' can not be overwritten in spec.,0/1/1900 12:28:42 AM,0/1/1900 12:00:36 AM,,,839-101612-054,,63,6,6,8,10,12,14,16,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.7621,312032,412207,504093,598963,696680,783934,880193,970868,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.6987,312497,413880,506884,602373,700078,789225,884237,976227,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,0.6,0.99,1,47090,57390,50,500,680,320,NULL,48237.6,48523.8,NULL,NULL,17175,16672.7,0.999095,0.99914,Installed,NULL,NULL,NULL,NULL,NULL,KGXAZ-1088_3_PM2,0.994101863,0.98,1.005,ARIA_Stanza,Extended
Gemini_KGXAZ-1090,KGXAZ-1090,KiyoGXPM,2,Muhammad Mifzal Iktisham Aziz,FAILED,,0/1/1900 12:20:22 AM,0/1/1900 12:24:35 AM,,,839-101612-054,,63,6,6,8,10,12,14,16,18,20,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,0.6,0.99,1,47090,57390,50,500,680,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Installed,NULL,NULL,NULL,NULL,NULL,,NULL,0.98,1.005,ARIA_Stanza,Extended
Gemini_KGXAZ-1084,KGXAZ-1084,KiyoGXPM,2,Muhammad Aiman Yusri,FAILED,Process Terminated on step #1,0/1/1900 12:58:30 AM,0/1/1900 12:01:42 AM,,,839-101612-054,,63,6,6,8,10,12,14,16,18,20,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,0.6,0.99,1,47090,57390,50,500,680,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Installed,NULL,NULL,NULL,NULL,NULL,,NULL,0.98,1.005,ARIA_Stanza,Extended
Gemini_KGXAZ-1084,KGXAZ-1084,KiyoGXPM,2,Muhammad Aiman Yusri,PASSED,On step #1:  Key 'PM_Result_Dir_Name' can not be overwritten in spec.,0/1/1900 12:02:10 AM,0/1/1900 12:13:51 AM,,,839-101612-054,,63,6,6,8,10,12,14,16,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13.7305,342468,445023,551130,654163,756916,855777,956359,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13.1219,343274,446834,555125,655541,761447,859756,964957,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,0.6,0.99,1,47090,57390,50,500,680,205.67,NULL,52968,53369.1,NULL,NULL,15207,14071.3,0.999088,0.999254,Installed,NULL,NULL,NULL,NULL,NULL,KGXAZ-1084_3_PM2,0.992484415,0.98,1.005,ARIA_Stanza,Extended
Gemini_KGXAZ-1086,KGXAZ-1086,KiyoGXPM,2,Muhamad Hafiz Othman,FAILED,On step #1:  Key 'PM_Result_Dir_Name' can not be overwritten in spec.,0/1/1900 12:06:24 AM,0/1/1900 12:15:15 AM,,,839-101612-054,,63,6,6,8,10,12,14,16,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15.7162,314625,413841,507270,599105,693578,786585,874068,962672,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15.5929,314860,415669,510688,602017,697528,778884,865705,952499,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,0.6,0.99,1,47090,57390,50,500,680,206,NULL,47835,47281.2,NULL,NULL,20924.5,25625.8,0.998634,0.997625,Installed,NULL,NULL,NULL,NULL,NULL,KGXAZ-1086_3_PM4,1.011712901,0.98,1.005,ARIA_Stanza,Extended
Gemini_KGXAZ-1086,KGXAZ-1086,KiyoGXPM,2,Muhamad Hafiz Othman,PASSED,On step #1:  Label missing: 'TEST_FAILED',0/1/1900 12:16:29 AM,0/1/1900 12:25:01 AM,,,839-101612-054,,63,6,6,8,10,12,14,16,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15.5635,311392,408722,502907,592370,685780,776005,863056,950507,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.6211,311886,411181,505247,594702,688762,779851,865290,953792,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,0.6,0.99,1,47090,57390,50,500,680,206,NULL,47208.4,47373.2,NULL,NULL,21352.3,21555.2,0.998528,0.998484,Installed,NULL,NULL,NULL,NULL,NULL,KGXAZ-1086_3_PM4,0.99652124,0.98,1.005,ARIA_Stanza,Extended
