EID,SERIAL_NUMBER,MODEL_NUMBER,VERSION,TESTER_NAME,OVER_ALL_RESULT,COMMENT,START_TIME,END_TIME,Fixture,Module,ESC_Type,ESC,SETPOINT_TEMP_SPEC,TEMP_TOLERANCE_SPEC,FWD_1,FWD_2,FWD_3,FWD_4,FWD_5,FWD_6,FWD_7,FWD_8,FWD_9,FWD_10,FWD_11,FWD_12,FWD_13,FWD_14,FWD_15,FWD_16,FWD_17,FWD_18,FWD_19,FWD_20,REF_1,REF_2,REF_3,REF_4,REF_5,REF_6,REF_7,REF_8,REF_9,REF_10,REF_11,REF_12,REF_13,REF_14,REF_15,REF_16,REF_17,REF_18,REF_19,REF_20,pulseREF_1,pulseREF_2,pulseREF_3,pulseREF_4,pulseREF_5,pulseREF_6,pulseREF_7,pulseREF_8,pulseREF_9,pulseREF_10,pulseREF_11,pulseREF_12,pulseREF_13,pulseREF_14,pulseREF_15,pulseREF_16,pulseREF_17,pulseREF_18,pulseREF_19,pulseREF_20,VOLTSQR_1,VOLTSQR_2,VOLTSQR_3,VOLTSQR_4,VOLTSQR_5,VOLTSQR_6,VOLTSQR_7,VOLTSQR_8,VOLTSQR_9,VOLTSQR_10,VOLTSQR_11,VOLTSQR_12,VOLTSQR_13,VOLTSQR_14,VOLTSQR_15,VOLTSQR_16,VOLTSQR_17,VOLTSQR_18,VOLTSQR_19,VOLTSQR_20,pulseVOLTSQR_1,pulseVOLTSQR_2,pulseVOLTSQR_3,pulseVOLTSQR_4,pulseVOLTSQR_5,pulseVOLTSQR_6,pulseVOLTSQR_7,pulseVOLTSQR_8,pulseVOLTSQR_9,pulseVOLTSQR_10,pulseVOLTSQR_11,pulseVOLTSQR_12,pulseVOLTSQR_13,pulseVOLTSQR_14,pulseVOLTSQR_15,pulseVOLTSQR_16,pulseVOLTSQR_17,pulseVOLTSQR_18,pulseVOLTSQR_19,pulseVOLTSQR_20,SPEC_MIN_ER,SPEC_MAX_ER,SPEC_MIN_RSQ,SPEC_MAX_RSQ,SLOPE_SPEC_MIN,SLOPE_SPEC_MAX,SETPOINT_PRESSURE,SPEC_MIN_ESC_CAP,SPEC_MAX_ESC_CAP,CAPACITANCE,ESC_CAP_MEAS,SLOPE,pulseSLOPE,EFFECTIVERES,pulseEFFECTIVERES,YINTERCEPT,pulseYINTERCEPT,RSQUARED,pulseRSQUARED,Corvus_Installed,BIASTEMP,ADVCIVPKPosA,ADVCIVPKPosB,ADVCIVPKPosA_Idle,ADVCIVPKPosB_Idle,PM_Result_Dir_Name,SLOPE_RATIO,LOWER_SLOPE_RATIO_SPEC,UPPER_SLOPE_RATIO_SPEC,RF_Pulsing_Configuration,CorvusType
PEN-F263941-PM4,KGXD-148,MckinleyPM,3.1,TB 8-04,PASSED,NULL,1/1/2026 4:29:05 AM,1/1/2026 5:44:29 AM,NULL,NULL,839-101612-068,NULL,63,6,100,150,200,250,300,350,400,450,500,550,600,700,800,900,1000,NULL,NULL,NULL,NULL,NULL,-6,99.22,155.02,210.94,267.86,328.98,389.7,451,513.86,573.16,632.44,693.22,812.8,935,1056.02,1174.78,NULL,NULL,NULL,NULL,-6,100.7,154.9,209.74,267.22,328.5,389.16,450.58,513.94,572.98,632,693.16,813.04,935.72,1057.54,1175.48,NULL,NULL,NULL,NULL,0,290.245,310.184,331.218,351.225,372.192,392.188,413.231,433.236,454.198,474.206,494.207,535.18,576.23,617.155,658.197,NULL,NULL,NULL,NULL,0,291.959,311.368,332.372,352.271,373.016,392.876,413.888,433.855,454.941,474.795,494.757,535.709,576.749,617.62,658.927,NULL,NULL,NULL,NULL,0.4,0.6,0.99,1,1.1,1.3,50,500,680,NULL,NULL,1.19472,1.19582,NULL,NULL,NULL,-23.8358,0.999724,0.999686,Installed,NULL,NULL,NULL,NULL,NULL,KGXD-148_3_PM4,0.99908,0.988885,0.99999,ARIA_Sopra,TxU
Gemini_KGXAZ-1086,KGXAZ-1086,KiyoGXPM,2.4,Muhamad Hafiz Othman,PASSED,,4/1/2026 5:25:04 PM,4/1/2026 5:36:47 PM,,,839-101612-054,,63,6,6,8,10,12,14,16,20,25,30,35,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0.094,0.1,0.1,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15.5278,49221.4,64778.5,81941.4,98355.6,113978,130285,163775,204102,245887,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15.5195,49471.5,65096.5,82266,98790,114459,130774,164260,204707,246688,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,0.6,0.99,1,6670,8594,50,500,680,206,NULL,8189.18,8212.19,NULL,NULL,215.125,310.844,0.999997,0.999995,TRUE,NULL,NULL,NULL,3.85624,0,KGXAZ-1086_3_PM4,0.997198,0.988885,0.99999,ARIA_Stanza,Extended
Gemini_KGXAZ-1091,KGXAZ-1091,KiyoGXPM,2.4,Thannabalan Krishnan,PASSED,,5/1/2026 1:24:14 AM,5/1/2026 1:36:16 AM,,,839-101612-054,,63,6,6,8,10,12,14,16,20,25,30,35,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17.2859,49936.9,65721.8,83122,99837.8,115768,132242,167026,207196,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16.9849,50034.9,65848.5,83332.1,100014,115910,132494,167190,207464,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,0.6,0.99,1,6670,8594,50,500,680,320,NULL,8325.34,8333.97,NULL,NULL,104.469,156.406,0.999998,0.999997,TRUE,NULL,NULL,NULL,4.04143,0,KGXAZ-1091_3_PM1,0.998964,0.988885,0.99999,ARIA_Stanza,Extended
Gemini_KGXAZ-1085,KGXAZ-1085,KiyoGXPM,2.4,Syamin Mansor,FAILED,,5/1/2026 5:48:35 PM,5/1/2026 5:59:07 PM,,,839-101612-054,,63,6,6,8,10,12,14,16,20,25,30,35,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.002,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18.4843,50644.3,67167,85295.4,101986,118516,136633,170226,212047,248334,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18.6359,49786.7,67072.5,83659.5,101896,118570,134953,169543,211612,248334,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,0.6,0.99,1,6670,8594,50,500,680,206,NULL,0,8460.06,NULL,NULL,0,152.5,0,0.999997,TRUE,NULL,NULL,NULL,4.33013,0,KGXAZ-1085_3_PM3,0.988001,0.988885,0.99999,ARIA_Stanza,Extended
Gemini_KGXAZ-1085,KGXAZ-1085,KiyoGXPM,2.4,Syamin Mansor,FAILED,,5/1/2026 6:06:09 PM,5/1/2026 6:20:30 PM,,,839-101612-054,,63,6,6,8,10,12,14,16,20,25,30,35,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.002,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18.4843,50644.3,67167,85295.4,101986,118516,136633,170226,212047,248334,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18.7568,49784.7,67035.3,83587.5,101867,118512,135035,169553,211466,248334,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,0.6,0.99,1,6670,8594,50,500,680,206,NULL,0,8455.69,NULL,NULL,0,170.812,0,0.999995,TRUE,NULL,NULL,NULL,4.39087,0,KGXAZ-1085_3_PM3,0.988001,0.988885,0.99999,ARIA_Stanza,Extended
Gemini_KGXAZ-1085,KGXAZ-1085,KiyoGXPM,2.4,Syamin Mansor,FAILED,,5/1/2026 6:27:35 PM,5/1/2026 6:40:31 PM,,,839-101612-054,,63,6,6,8,10,12,14,16,20,25,30,35,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.002,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18.4843,50644.3,67167,85295.4,101986,118516,136633,170226,212047,248334,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19.3432,50816.1,68990.2,85575.7,102247,120542,137917,171831,214000,248334,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,0.6,0.99,1,6670,8594,50,500,680,206,NULL,0,8602.77,NULL,NULL,0,152.281,0,0.999998,TRUE,NULL,NULL,NULL,4.21855,0,KGXAZ-1085_3_PM3,0.988001,0.988885,0.99999,ARIA_Stanza,Extended
Gemini_KGXAZ-1085,KGXAZ-1085,KiyoGXPM,2.4,Syamin Mansor,FAILED,,5/1/2026 6:40:45 PM,5/1/2026 6:50:44 PM,,,839-101612-054,,63,6,6,8,10,12,14,16,20,25,30,35,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.002,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18.4843,50644.3,67167,85295.4,101986,118516,136633,170226,212047,248334,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18.3734,51002.8,67564.4,85887.9,102617,119364,137655,171573,213877,248334,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,0.6,0.99,1,6670,8594,50,500,680,206,NULL,8602.77,8568.48,NULL,NULL,152.281,175.25,0.999998,0.999996,TRUE,NULL,NULL,NULL,4.33018,0,KGXAZ-1085_3_PM3,0.988001,0.988885,0.99999,ARIA_Stanza,Extended
Gemini_KGXAZ-1085,KGXAZ-1085,KiyoGXPM,2.4,Syamin Mansor,FAILED,,5/1/2026 6:57:49 PM,5/1/2026 7:07:24 PM,,,839-101612-054,,63,6,6,8,10,12,14,16,20,25,30,35,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.002,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18.4843,50644.3,67167,85295.4,101986,118516,136633,170226,212047,248334,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19.2026,50903.5,67487.6,85780.8,102531,119167,137447,171346,213522,248334,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,0.6,0.99,1,6670,8594,50,500,680,206,NULL,0,8554.77,NULL,NULL,0,189.437,0,0.999996,TRUE,NULL,NULL,NULL,4.42341,0,KGXAZ-1085_3_PM3,0.988001,0.988885,0.99999,ARIA_Stanza,Extended
Gemini_KGXAZ-1085,KGXAZ-1085,KiyoGXPM,2.4,Syamin Mansor,FAILED,,5/1/2026 7:13:37 PM,5/1/2026 7:26:54 PM,,,839-101612-054,,63,6,6,8,10,12,14,16,20,25,30,35,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0.002,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18.4843,50644.3,67167,85295.4,101986,118516,136633,170226,212047,248334,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19.2611,50772.8,67255.2,85488.5,102164,118921,137003,170912,212892,248334,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,0.6,0.99,1,6670,8594,50,500,680,206,NULL,0,8530.94,NULL,NULL,0,174.031,0,0.999995,TRUE,NULL,NULL,NULL,4.30865,0,KGXAZ-1085_3_PM3,0.988001,0.988885,0.99999,ARIA_Stanza,Extended
Gemini_KGXAZ-1087,KGXAZ-1087,KiyoGXPM,2.4,Fathi Abu Bakar,PASSED,,5/1/2026 11:31:15 PM,5/1/2026 11:44:22 PM,,,839-101612-054,,63,6,6,8,10,12,14,16,20,25,30,35,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17.7641,47692.1,62764.1,79457.7,95490.1,110652,126526,159046,197568,235666,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17.412,47756.4,62821,79511.6,95552.3,110750,126607,159258,198158,236307,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,0.6,0.99,1,6670,8594,50,500,680,206,NULL,7892.63,7915.58,NULL,NULL,367.469,230.219,0.99998,0.99999,TRUE,NULL,NULL,NULL,4.33949,0,KGXAZ-1087_3_PM1,0.997101,0.988885,0.99999,ARIA_Stanza,Extended
